,time,temperature,rain,windspeed,precipitationHcount,city,VolatilityScore,VolatilityRiskStatus,30_day_avg,year
0,2010-01-01,26.1,0.0,11.7,0,Colombo,0.6157445077298611,NO,,2010
1,2010-01-02,26.2,0.1,13.0,1,Colombo,0.5157445077298632,NO,,2010
2,2010-01-03,26.0,0.6,12.3,3,Colombo,0.7157445077298625,NO,,2010
3,2010-01-04,25.3,0.0,17.0,0,Colombo,1.4157445077298618,YES,,2010
4,2010-01-05,24.5,0.0,18.7,0,Colombo,2.2157445077298625,YES,,2010
5,2010-01-06,25.0,0.0,17.1,0,Colombo,1.7157445077298625,YES,,2010
6,2010-01-07,25.8,0.0,13.5,0,Colombo,0.9157445077298618,NO,,2010
7,2010-01-08,25.5,0.8,13.0,3,Colombo,1.2157445077298625,YES,,2010
8,2010-01-09,25.9,3.2,11.5,5,Colombo,0.815744507729864,NO,,2010
9,2010-01-10,26.1,0.1,6.9,1,Colombo,0.6157445077298611,NO,,2010
10,2010-01-11,26.4,0.7,6.4,5,Colombo,0.31574450772986395,NO,,2010
11,2010-01-12,26.1,6.8,11.2,4,Colombo,0.6157445077298611,NO,,2010
12,2010-01-13,26.2,4.8,7.6,10,Colombo,0.5157445077298632,NO,,2010
13,2010-01-14,26.2,5.7,10.2,4,Colombo,0.5157445077298632,NO,,2010
14,2010-01-15,26.5,0.0,12.4,0,Colombo,0.21574450772986253,NO,,2010
15,2010-01-16,26.6,3.3,10.8,4,Colombo,0.11574450772986111,NO,,2010
16,2010-01-17,26.5,2.7,14.2,4,Colombo,0.21574450772986253,NO,,2010
17,2010-01-18,26.1,4.5,9.8,5,Colombo,0.6157445077298611,NO,,2010
18,2010-01-19,26.8,4.9,9.4,5,Colombo,0.08425549227013818,NO,,2010
19,2010-01-20,26.8,0.0,11.2,0,Colombo,0.08425549227013818,NO,,2010
20,2010-01-21,26.4,0.0,14.9,0,Colombo,0.31574450772986395,NO,,2010
21,2010-01-22,26.1,0.0,13.8,0,Colombo,0.6157445077298611,NO,,2010
22,2010-01-23,25.9,0.0,13.7,0,Colombo,0.815744507729864,NO,,2010
23,2010-01-24,26.7,0.0,9.0,0,Colombo,0.015744507729863244,NO,,2010
24,2010-01-25,27.3,0.0,10.1,0,Colombo,0.5842554922701382,NO,,2010
25,2010-01-26,27.9,0.0,7.9,0,Colombo,1.184255492270136,YES,,2010
26,2010-01-27,28.0,0.2,9.4,2,Colombo,1.2842554922701375,YES,,2010
27,2010-01-28,28.1,0.1,14.3,1,Colombo,1.3842554922701389,YES,,2010
28,2010-01-29,28.1,0.0,14.2,0,Colombo,1.3842554922701389,YES,,2010
29,2010-01-30,25.9,48.9,15.5,11,Colombo,0.815744507729864,NO,26.366666666666667,2010
30,2010-01-31,26.8,3.8,11.5,5,Colombo,0.08425549227013818,NO,26.389999999999997,2010
31,2010-02-01,26.5,17.1,11.6,8,Colombo,0.21574450772986253,NO,26.4,2010
32,2010-02-02,26.8,10.4,10.1,11,Colombo,0.08425549227013818,NO,26.42666666666667,2010
33,2010-02-03,26.9,0.0,14.8,0,Colombo,0.18425549227013605,NO,26.48,2010
34,2010-02-04,27.0,0.0,11.3,0,Colombo,0.28425549227013747,NO,26.563333333333333,2010
35,2010-02-05,27.2,0.0,14.2,0,Colombo,0.48425549227013676,NO,26.636666666666667,2010
36,2010-02-06,27.4,0.0,12.8,0,Colombo,0.684255492270136,NO,26.69,2010
37,2010-02-07,27.2,0.0,15.0,0,Colombo,0.48425549227013676,NO,26.746666666666666,2010
38,2010-02-08,27.5,0.0,14.2,0,Colombo,0.7842554922701375,NO,26.8,2010
39,2010-02-09,26.6,1.1,9.2,3,Colombo,0.11574450772986111,NO,26.816666666666666,2010
40,2010-02-10,28.3,2.0,12.0,5,Colombo,1.5842554922701382,YES,26.880000000000003,2010
41,2010-02-11,27.5,0.7,9.3,4,Colombo,0.7842554922701375,NO,26.92666666666667,2010
42,2010-02-12,26.9,0.7,10.5,3,Colombo,0.18425549227013605,NO,26.95,2010
43,2010-02-13,27.5,3.6,9.6,6,Colombo,0.7842554922701375,NO,26.993333333333336,2010
44,2010-02-14,27.8,0.0,9.2,0,Colombo,1.0842554922701382,YES,27.03666666666667,2010
45,2010-02-15,28.5,0.1,12.8,1,Colombo,1.7842554922701375,YES,27.1,2010
46,2010-02-16,28.0,2.6,5.7,8,Colombo,1.2842554922701375,YES,27.15,2010
47,2010-02-17,28.0,6.8,6.3,6,Colombo,1.2842554922701375,YES,27.21333333333333,2010
48,2010-02-18,26.8,19.7,13.1,8,Colombo,0.08425549227013818,NO,27.213333333333335,2010
49,2010-02-19,27.7,0.1,8.5,1,Colombo,0.9842554922701368,YES,27.243333333333332,2010
50,2010-02-20,27.6,0.9,13.2,6,Colombo,0.8842554922701389,NO,27.283333333333335,2010
51,2010-02-21,28.3,0.0,10.6,0,Colombo,1.5842554922701382,YES,27.356666666666666,2010
52,2010-02-22,28.5,0.0,15.8,0,Colombo,1.7842554922701375,YES,27.44333333333333,2010
53,2010-02-23,28.1,0.3,14.2,2,Colombo,1.3842554922701389,YES,27.49,2010
54,2010-02-24,27.2,3.6,11.5,13,Colombo,0.48425549227013676,NO,27.486666666666668,2010
55,2010-02-25,27.7,0.0,13.4,0,Colombo,0.9842554922701368,YES,27.48,2010
56,2010-02-26,28.1,0.0,12.3,0,Colombo,1.3842554922701389,YES,27.483333333333334,2010
57,2010-02-27,28.0,0.0,11.0,0,Colombo,1.2842554922701375,YES,27.48,2010
58,2010-02-28,28.2,0.1,13.4,1,Colombo,1.4842554922701368,YES,27.483333333333334,2010
59,2010-03-01,28.1,0.0,13.0,0,Colombo,1.3842554922701389,YES,27.55666666666667,2010
60,2010-03-02,28.0,0.0,14.1,0,Colombo,1.2842554922701375,YES,27.59666666666667,2010
61,2010-03-03,28.4,0.0,11.8,0,Colombo,1.684255492270136,YES,27.660000000000004,2010
62,2010-03-04,27.7,1.7,14.6,6,Colombo,0.9842554922701368,YES,27.689999999999998,2010
63,2010-03-05,27.2,0.0,14.5,0,Colombo,0.48425549227013676,NO,27.7,2010
64,2010-03-06,27.8,0.0,13.9,0,Colombo,1.0842554922701382,YES,27.726666666666667,2010
65,2010-03-07,29.0,0.0,15.5,0,Colombo,2.2842554922701375,YES,27.786666666666665,2010
66,2010-03-08,29.2,0.9,12.3,6,Colombo,2.4842554922701368,YES,27.846666666666668,2010
